{'generations': 100, 'population_size': 50, 'breeding_rate': 0.4, 'crossover_rate': 0.8, 'mutation_rate': 0.15, 'mutation_range': 0.2, 'select_parents_stochastically': True}
FITNESS - train_best: 1213.43, train_mean: 4101.33, test_best: 407.22, test_mean: 1387.51
FITNESS - train_best: 1130.23, train_mean: 3339.39, test_best: 374.56, test_mean: 1135.50
FITNESS - train_best: 1130.23, train_mean: 2675.26, test_best: 374.56, test_mean: 907.90
FITNESS - train_best: 553.67, train_mean: 2156.22, test_best: 179.27, test_mean: 729.55
FITNESS - train_best: 553.67, train_mean: 1661.12, test_best: 179.27, test_mean: 557.94
FITNESS - train_best: 553.67, train_mean: 1352.83, test_best: 179.27, test_mean: 449.88
FITNESS - train_best: 553.67, train_mean: 1170.94, test_best: 179.27, test_mean: 389.50
FITNESS - train_best: 340.09, train_mean: 962.55, test_best: 117.16, test_mean: 323.34
FITNESS - train_best: 310.47, train_mean: 802.72, test_best: 107.69, test_mean: 271.54
FITNESS - train_best: 310.47, train_mean: 642.12, test_best: 106.81, test_mean: 218.39
FITNESS - train_best: 224.86, train_mean: 504.82, test_best: 74.23, test_mean: 170.77
FITNESS - train_best: 166.53, train_mean: 417.20, test_best: 55.43, test_mean: 141.95
FITNESS - train_best: 166.53, train_mean: 328.53, test_best: 55.43, test_mean: 111.74
FITNESS - train_best: 94.38, train_mean: 280.17, test_best: 32.78, test_mean: 94.20
FITNESS - train_best: 73.82, train_mean: 222.47, test_best: 26.27, test_mean: 75.72
FITNESS - train_best: 73.82, train_mean: 186.78, test_best: 26.27, test_mean: 63.13
FITNESS - train_best: 73.64, train_mean: 163.56, test_best: 24.99, test_mean: 55.69
FITNESS - train_best: 64.06, train_mean: 141.80, test_best: 21.92, test_mean: 48.38
FITNESS - train_best: 44.35, train_mean: 117.44, test_best: 16.01, test_mean: 40.22
FITNESS - train_best: 44.35, train_mean: 99.20, test_best: 16.01, test_mean: 33.90
FITNESS - train_best: 44.35, train_mean: 82.24, test_best: 15.96, test_mean: 28.25
FITNESS - train_best: 43.17, train_mean: 71.66, test_best: 15.96, test_mean: 24.55
FITNESS - train_best: 43.17, train_mean: 66.64, test_best: 15.96, test_mean: 23.17
FITNESS - train_best: 42.08, train_mean: 58.88, test_best: 13.23, test_mean: 20.41
FITNESS - train_best: 38.35, train_mean: 59.49, test_best: 12.88, test_mean: 20.66
FITNESS - train_best: 28.09, train_mean: 61.65, test_best: 8.24, test_mean: 21.83
FITNESS - train_best: 28.09, train_mean: 52.08, test_best: 8.24, test_mean: 18.01
FITNESS - train_best: 28.09, train_mean: 46.99, test_best: 8.24, test_mean: 16.35
FITNESS - train_best: 28.09, train_mean: 45.69, test_best: 8.24, test_mean: 15.95
FITNESS - train_best: 28.09, train_mean: 45.67, test_best: 8.24, test_mean: 15.91
FITNESS - train_best: 28.09, train_mean: 46.44, test_best: 8.24, test_mean: 16.10
FITNESS - train_best: 28.09, train_mean: 42.94, test_best: 8.24, test_mean: 14.97
FITNESS - train_best: 28.09, train_mean: 40.25, test_best: 8.24, test_mean: 13.77
FITNESS - train_best: 18.32, train_mean: 38.63, test_best: 5.75, test_mean: 13.03
FITNESS - train_best: 18.32, train_mean: 34.17, test_best: 5.75, test_mean: 11.29
FITNESS - train_best: 16.69, train_mean: 36.12, test_best: 5.18, test_mean: 11.87
